195,3,399900
148,3,329900
222,3,369000
131,2,232000
278,4,539900
184,4,299900
142,3,314900
132,3,198999
128,3,212000
138,3,242500
180,4,239999
185,3,347000
175,3,329999
416,5,699900
117,3,259900
213,4,449900
122,2,299900
114,3,199900
242,4,499998
281,4,599000
164,3,252900
175,2,255000
149,3,242900
182,4,259900
361,3,573900
102,3,249900
135,3,464500
234,3,469000
204,3,475000
244,3,299900
170,2,349900
92,1,169900
189,4,314900
291,3,579900
168,4,285900
133,3,249900
115,3,229900
198,4,345000
391,4,549000
200,4,287000
154,2,368500
207,3,329900
238,4,314000
111,3,299000
79,2,179900
172,4,299900
111,3,239500
